0;1;1;0
1;5;1;0
5;0;1;0
0;3;1;1
3;0;1;1
1;82;1;2
82;10;1;2
10;7;1;2
7;56;1;2
56;26;1;2
26;38;1;2
38;83;1;2
83;23;1;2
23;68;1;2
68;1;1;2
3;60;1;3
60;49;1;3
49;81;1;3
81;44;1;3
44;6;1;3
6;96;1;3
96;46;1;3
46;42;1;3
42;74;1;3
74;86;1;3
86;3;1;3
3;15;1;4
15;70;1;4
70;19;1;4
19;32;1;4
32;36;1;4
36;100;1;4
100;103;1;4
103;45;1;4
45;62;1;4
62;3;1;4
5;66;1;5
66;99;1;5
99;55;1;5
55;29;1;5
29;48;1;5
48;75;1;5
75;69;1;5
69;101;1;5
101;5;1;5
5;105;1;6
105;47;1;6
47;58;1;6
58;57;1;6
57;104;1;6
104;9;1;6
9;77;1;6
77;64;1;6
64;67;1;6
67;28;1;6
28;5;1;6
5;50;1;7
50;21;1;7
21;89;1;7
89;27;1;7
27;17;1;7
17;33;1;7
33;13;1;7
13;31;1;7
31;41;1;7
41;51;1;7
51;5;1;7
1;84;1;8
84;98;1;8
98;79;1;8
79;25;1;8
25;78;1;8
78;54;1;8
54;63;1;8
63;59;1;8
59;53;1;8
53;1;1;8
3;12;1;9
12;52;1;9
52;102;1;9
102;91;1;9
91;22;1;9
22;37;1;9
37;87;1;9
87;20;1;9
20;90;1;9
90;3;1;9
1;95;1;10
95;71;1;10
71;61;1;10
61;8;1;10
8;34;1;10
34;94;1;10
94;39;1;10
39;35;1;10
35;14;1;10
14;97;1;10
97;1;1;10
5;30;1;11
30;92;1;11
92;80;1;11
80;93;1;11
93;18;1;11
18;65;1;11
65;72;1;11
72;5;1;11
5;85;1;12
85;88;1;12
88;11;1;12
11;73;1;12
73;43;1;12
43;40;1;12
40;16;1;12
16;76;1;12
76;24;1;12
24;5;1;12
